"gutenberg_id" "text"
55 "<Chapter I"
55 "The Cyclone>"
55 ""
55 ""
55 "Dorothy lived in the midst of the great Kansas prairies, with Uncle"
55 "Henry, who was a farmer, and Aunt Em, who was the farmer’s wife. Their"
55 "house was small, for the lumber to build it had to be carried by wagon"
55 "many miles. There were four walls, a floor and a roof, which made one"
55 "room; and this room contained a rusty looking cookstove, a cupboard for"
55 "the dishes, a table, three or four chairs, and the beds. Uncle Henry"
55 "and Aunt Em had a big bed in one corner, and Dorothy a little bed in"
55 "another corner. There was no garret at all, and no cellar—except a"
55 "small hole dug in the ground, called a cyclone cellar, where the family"
55 "could go in case one of those great whirlwinds arose, mighty enough to"
55 "crush any building in its path. It was reached by a trap door in the"
55 "middle of the floor, from which a ladder led down into the small, dark"
55 "hole."
55 ""
55 "When Dorothy stood in the doorway and looked around, she could see"
55 "nothing but the great gray prairie on every side. Not a tree nor a"
55 "house broke the broad sweep of flat country that reached to the edge of"
55 "the sky in all directions. The sun had baked the plowed land into a"
55 "gray mass, with little cracks running through it. Even the grass was"
55 "not green, for the sun had burned the tops of the long blades until"
55 "they were the same gray color to be seen everywhere. Once the house had"
55 "been painted, but the sun blistered the paint and the rains washed it"
55 "away, and now the house was as dull and gray as everything else."
55 ""
55 "When Aunt Em came there to live she was a young, pretty wife. The sun"
55 "and wind had changed her, too. They had taken the sparkle from her eyes"
55 "and left them a sober gray; they had taken the red from her cheeks and"
55 "lips, and they were gray also. She was thin and gaunt, and never smiled"
55 "now. When Dorothy, who was an orphan, first came to her, Aunt Em had"
55 "been so startled by the child’s laughter that she would scream and"
55 "press her hand upon her heart whenever Dorothy’s merry voice reached"
55 "her ears; and she still looked at the little girl with wonder that she"
55 "could find anything to laugh at."
55 ""
55 "Uncle Henry never laughed. He worked hard from morning till night and"
55 "did not know what joy was. He was gray also, from his long beard to his"
55 "rough boots, and he looked stern and solemn, and rarely spoke."
55 ""
55 "It was Toto that made Dorothy laugh, and saved her from growing as gray"
55 "as her other surroundings. Toto was not gray; he was a little black"
55 "dog, with long silky hair and small black eyes that twinkled merrily on"
55 "either side of his funny, wee nose. Toto played all day long, and"
55 "Dorothy played with him, and loved him dearly."
55 ""
55 "Today, however, they were not playing. Uncle Henry sat upon the"
55 "doorstep and looked anxiously at the sky, which was even grayer than"
55 "usual. Dorothy stood in the door with Toto in her arms, and looked at"
55 "the sky too. Aunt Em was washing the dishes."
55 ""
55 "From the far north they heard a low wail of the wind, and Uncle Henry"
55 "and Dorothy could see where the long grass bowed in waves before the"
55 "coming storm. There now came a sharp whistling in the air from the"
55 "south, and as they turned their eyes that way they saw ripples in the"
55 "grass coming from that direction also."
55 ""
55 "Suddenly Uncle Henry stood up."
55 ""
55 "“There’s a cyclone coming, Em,” he called to his wife. “I’ll go look"
55 "after the stock.” Then he ran toward the sheds where the cows and"
55 "horses were kept."
55 ""
55 "Aunt Em dropped her work and came to the door. One glance told her of"
55 "the danger close at hand."
55 ""
55 "“Quick, Dorothy!” she screamed. “Run for the cellar!”"
55 ""
55 "Toto jumped out of Dorothy’s arms and hid under the bed, and the girl"
55 "started to get him. Aunt Em, badly frightened, threw open the trap door"
55 "in the floor and climbed down the ladder into the small, dark hole."
55 "Dorothy caught Toto at last and started to follow her aunt. When she"
55 "was halfway across the room there came a great shriek from the wind,"
55 "and the house shook so hard that she lost her footing and sat down"
55 "suddenly upon the floor."
55 ""
55 "Then a strange thing happened."
55 ""
55 "The house whirled around two or three times and rose slowly through the"
55 "air. Dorothy felt as if she were going up in a balloon."
55 ""
55 "The north and south winds met where the house stood, and made it the"
55 "exact center of the cyclone. In the middle of a cyclone the air is"
55 "generally still, but the great pressure of the wind on every side of"
55 "the house raised it up higher and higher, until it was at the very top"
55 "of the cyclone; and there it remained and was carried miles and miles"
55 "away as easily as you could carry a feather."
55 ""
55 "It was very dark, and the wind howled horribly around her, but Dorothy"
55 "found she was riding quite easily. After the first few whirls around,"
55 "and one other time when the house tipped badly, she felt as if she were"
55 "being rocked gently, like a baby in a cradle."
55 ""
55 "Toto did not like it. He ran about the room, now here, now there,"
55 "barking loudly; but Dorothy sat quite still on the floor and waited to"
55 "see what would happen."
55 ""
55 "Once Toto got too near the open trap door, and fell in; and at first"
55 "the little girl thought she had lost him. But soon she saw one of his"
55 "ears sticking up through the hole, for the strong pressure of the air"
55 "was keeping him up so that he could not fall. She crept to the hole,"
55 "caught Toto by the ear, and dragged him into the room again, afterward"
55 "closing the trap door so that no more accidents could happen."
55 ""
55 "Hour after hour passed away, and slowly Dorothy got over her fright;"
55 "but she felt quite lonely, and the wind shrieked so loudly all about"
55 "her that she nearly became deaf. At first she had wondered if she would"
55 "be dashed to pieces when the house fell again; but as the hours passed"
55 "and nothing terrible happened, she stopped worrying and resolved to"
55 "wait calmly and see what the future would bring. At last she crawled"
55 "over the swaying floor to her bed, and lay down upon it; and Toto"
55 "followed and lay down beside her."
55 ""
55 "In spite of the swaying of the house and the wailing of the wind,"
55 "Dorothy soon closed her eyes and fell fast asleep."
55 ""
55 ""
55 ""
55 ""
55 "<Chapter II"
55 "The Council with the Munchkins>"
55 ""
55 ""
55 "She was awakened by a shock, so sudden and severe that if Dorothy had"
55 "not been lying on the soft bed she might have been hurt. As it was, the"
55 "jar made her catch her breath and wonder what had happened; and Toto"
55 "put his cold little nose into her face and whined dismally. Dorothy sat"
55 "up and noticed that the house was not moving; nor was it dark, for the"
55 "bright sunshine came in at the window, flooding the little room. She"
55 "sprang from her bed and with Toto at her heels ran and opened the door."
55 ""
55 "The little girl gave a cry of amazement and looked about her, her eyes"
55 "growing bigger and bigger at the wonderful sights she saw."
55 ""
55 "The cyclone had set the house down very gently—for a cyclone—in the"
55 "midst of a country of marvelous beauty. There were lovely patches of"
55 "greensward all about, with stately trees bearing rich and luscious"
55 "fruits. Banks of gorgeous flowers were on every hand, and birds with"
55 "rare and brilliant plumage sang and fluttered in the trees and bushes."
55 "A little way off was a small brook, rushing and sparkling along between"
55 "green banks, and murmuring in a voice very grateful to a little girl"
55 "who had lived so long on the dry, gray prairies."
55 ""
55 "While she stood looking eagerly at the strange and beautiful sights,"
55 "she noticed coming toward her a group of the queerest people she had"
55 "ever seen. They were not as big as the grown folk she had always been"
55 "used to; but neither were they very small. In fact, they seemed about"
55 "as tall as Dorothy, who was a well-grown child for her age, although"
55 "they were, so far as looks go, many years older."
55 ""
55 "Three were men and one a woman, and all were oddly dressed. They wore"
55 "round hats that rose to a small point a foot above their heads, with"
55 "little bells around the brims that tinkled sweetly as they moved. The"
55 "hats of the men were blue; the little woman’s hat was white, and she"
55 "wore a white gown that hung in pleats from her shoulders. Over it were"
55 "sprinkled little stars that glistened in the sun like diamonds. The men"
55 "were dressed in blue, of the same shade as their hats, and wore"
55 "well-polished boots with a deep roll of blue at the tops. The men,"
55 "Dorothy thought, were about as old as Uncle Henry, for two of them had"
55 "beards. But the little woman was doubtless much older. Her face was"
55 "covered with wrinkles, her hair was nearly white, and she walked rather"
55 "stiffly."
55 ""
55 "When these people drew near the house where Dorothy was standing in the"
55 "doorway, they paused and whispered among themselves, as if afraid to"
55 "come farther. But the little old woman walked up to Dorothy, made a low"
55 "bow and said, in a sweet voice:"
55 ""
55 "“You are welcome, most noble Sorceress, to the land of the Munchkins."
